"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/33ca52b2cee2bc3d92fed4ceb3533c6c82bb3a98fd9f635c8feb6c9634eb66df.jpg","image/jpeg","200","OK","Indexable","","0","0.088","",""
"https://www.getyourguide.com/en-gb/vienna-l7/vienna-skip-the-line-schonbrunn-palace-and-gardens-tour-t471518/?ranking_uuid=944068a9-e379-435b-8177-767333dbfb23","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.459","https://www.getyourguide.com/en-gb/vienna-l7/vienna-skip-the-line-schonbrunn-palace-and-gardens-tour-t471518/","HTTP Redirect"
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/59020349a9efa.jpeg","image/jpeg","200","OK","Indexable","","0","0.191","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/63d8af87e3b5b.jpeg","image/jpeg","200","OK","Indexable","","0","0.135","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/3e07ba7c81a12a221956075dd0ff6a367436568829b262509ed47dba570995a2.jpg","image/jpeg","200","OK","Indexable","","0","0.181","",""
"https://www.tripadvisor.com/","text/html;charset=utf-8","403","Forbidden","Non-Indexable","Client Error","1","0.091","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/325f960e38f938c0fc6f9de137c06dd70b613cc532ac7a6dce0cdabccd91abbb.jpeg","image/jpeg","200","OK","Indexable","","0","0.094","",""
"https://www.getyourguide.com/hanoi-l205/hanoi-3-day-ha-giang-loop-small-group-t1098980/?ranking_uuid=d27637b8-5c09-45ef-9673-182316376730","text/html; charset=utf-8","200","OK","Indexable","","1","0.034","",""
"https://www.getyourguide.com/en-gb/bali-l347/bali-spiritual-cleansing-and-shamanic-healing-tour-t101798/?ranking_uuid=e8652714-056a-4a19-8103-79b38cc17461","text/html; charset=utf-8","200","OK","Indexable","","1","0.146","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/c1547be86dcd0c5c67bb45d16de822a5f4bbade047559e5f68a91e29fca2e32d.jpg","image/jpeg","200","OK","Indexable","","0","0.103","",""
"https://widget.getyourguide.com/dist/pa.umd.production.min.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/b0d04e4451c25d9b.jpeg","image/jpeg","200","OK","Indexable","","0","0.105","",""
"https://www.getyourguide.com/en-gb/seoul-l197/seoul-dmz-the-3rd-tunnel-and-suspension-bridge-tour-t63309/?ranking_uuid=23bd7474-d0f1-4194-8cd5-fa519892f01a","text/html; charset=utf-8","200","OK","Indexable","","1","0.150","",""
"https://www.getyourguide.com/en-gb/vatican-museums-l2738/skip-the-line-vatican-museums-sistine-chapel-ticket-t62214/?ranking_uuid=35b2e8de-92b2-4a90-90d9-a22db76235c9","text/html; charset=utf-8","200","OK","Indexable","","1","0.034","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/8dcf839b5857ce4288c38ef9787a29d692a6d87087e601c78ff9f43fbd844c76.jpeg","image/jpeg","200","OK","Indexable","","0","0.200","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/609d3de2f50d508f8bd66fa1fc2a7c3d9b79c0744626c6e6d7b316735a9d9fcf.jpg","image/jpeg","200","OK","Indexable","","0","0.086","",""
"https://www.getyourguide.com/en-gb/krakow-l40/from-krakow-auschwitz-birkenau-guided-tour-hotel-pickup-t88880/?ranking_uuid=d419f570-dbba-4461-97bf-9e9e87cea2e5","text/html; charset=utf-8","200","OK","Indexable","","1","0.110","",""
"https://www.getyourguide.com/en-gb/beijing-l186/beijing-mutianyu-great-wallsummer-palaceyuanmingyuan-tour-t1212271/?ranking_uuid=11f9eecb-638f-493d-88fa-57e883ec4922","text/html; charset=utf-8","200","OK","Indexable","","1","0.109","",""
"https://www.getyourguide.com/en-gb/cancun-l150/cancun-coco-bongo-nightclub-experience-t404040/?ranking_uuid=6527ca0c-fdd6-459a-b562-b486c4c58755","text/html; charset=utf-8","200","OK","Indexable","","1","0.079","",""
"https://images.unsplash.com/photo-1709805619372-40de3f158e83?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8aG9zdGVsfGVufDB8fDB8fHww","image/jpeg","200","OK","Indexable","","0","0.123","",""
"https://images.unsplash.com/photo-1512554225227-89e158d18198?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fHNsZWVwZXIlMjBidXN8ZW58MHx8MHx8fDA%3D","image/jpeg","200","OK","Indexable","","0","0.449","",""
"https://images.unsplash.com/photo-1731910549709-bfaffd5e73d9?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8YnVkZ2V0JTIwYW5kJTIwbW9uZXl8ZW58MHx8MHx8fDA%3D","image/jpeg","200","OK","Indexable","","0","0.487","",""
"https://images.unsplash.com/photo-1534534573898-db5148bc8b0c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHBhY2tpbmd8ZW58MHx8MHx8fDA%3D","image/jpeg","200","OK","Indexable","","0","0.593","",""
